timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-02-10,97.56,98.8163,96.23,97.61,97.61,52740133,0.0000,1.0
2023-02-09,101.32,101.78,97.57,98.24,98.24,64622489,0.0000,1.0
2023-02-08,102.04,102.6699,98.775,100.05,100.05,75878304,0.0000,1.0
2023-02-07,101.17,102.41,98.08,102.11,102.11,119501301,0.0000,1.0
2023-02-06,102.925,103.9484,100.65,102.18,102.18,81945199,0.0000,1.0
2023-02-03,105.26,108.78,102.52,103.39,103.39,144374828,0.0000,1.0
2023-02-02,110.245,114.0,108.88,112.91,112.91,158154243,0.0000,1.0
2023-02-01,102.53,106.24,101.24,105.15,105.15,80450121,0.0000,1.0
2023-01-31,101.155,103.3484,101.14,103.13,103.13,66527253,0.0000,1.0
2023-01-30,101.09,101.74,99.01,100.55,100.55,70691860,0.0000,1.0
2023-01-27,99.53,103.485,99.53,102.24,102.24,87775614,0.0000,1.0
2023-01-26,98.235,99.49,96.92,99.22,99.22,68523557,0.0000,1.0
2023-01-25,92.56,97.24,91.52,97.18,97.18,94261570,0.0000,1.0
2023-01-24,96.93,98.09,96.0,96.32,96.32,66929452,0.0000,1.0
2023-01-23,97.56,97.78,95.86,97.52,97.52,76501103,0.0000,1.0
2023-01-20,93.86,97.354,93.2025,97.25,97.25,67481539,0.0000,1.0
2023-01-19,94.74,95.44,92.86,93.68,93.68,69002663,0.0000,1.0
2023-01-18,97.25,99.32,95.38,95.46,95.46,79570370,0.0000,1.0
2023-01-17,98.68,98.89,95.73,96.05,96.05,72755001,0.0000,1.0
2023-01-13,94.18,98.37,94.12,98.12,98.12,85549432,0.0000,1.0
2023-01-12,96.93,97.19,93.5,95.27,95.27,85254781,0.0000,1.0
2023-01-11,90.93,95.26,90.93,95.09,95.09,103126183,0.0000,1.0
2023-01-10,87.57,90.185,87.29,89.87,89.87,67756601,0.0000,1.0
2023-01-09,87.46,89.48,87.08,87.36,87.36,65266056,0.0000,1.0
2023-01-06,83.03,86.4,81.43,86.08,86.08,83303361,0.0000,1.0
2023-01-05,85.33,85.42,83.07,83.12,83.12,67930825,0.0000,1.0
2023-01-04,86.55,86.98,83.36,85.14,85.14,68885123,0.0000,1.0
2023-01-03,85.46,86.96,84.205,85.82,85.82,76706040,0.0000,1.0
2022-12-30,83.12,84.05,82.47,84.0,84.0,62401194,0.0000,1.0
2022-12-29,82.87,84.55,82.55,84.18,84.18,54995895,0.0000,1.0
2022-12-28,82.8,83.48,81.69,81.82,81.82,58228575,0.0000,1.0
2022-12-27,84.97,85.35,83.0,83.04,83.04,57284035,0.0000,1.0
2022-12-23,83.25,85.78,82.9344,85.25,85.25,57433655,0.0000,1.0
2022-12-22,85.52,85.68,82.25,83.79,83.79,81431314,0.0000,1.0
2022-12-21,86.175,87.225,85.21,86.77,86.77,59267156,0.0000,1.0
2022-12-20,85.33,86.61,84.33,85.19,85.19,74348301,0.0000,1.0
2022-12-19,87.51,87.63,84.51,84.92,84.92,83531460,0.0000,1.0
2022-12-16,88.265,89.35,86.73,87.86,87.86,146144064,0.0000,1.0
2022-12-15,89.89,89.97,87.47,88.45,88.45,84802877,0.0000,1.0
2022-12-14,92.502,93.4581,89.87,91.58,91.58,70298006,0.0000,1.0
2022-12-13,95.23,96.25,90.52,92.49,92.49,100212038,0.0000,1.0
2022-12-12,89.21,90.58,87.87,90.55,90.55,61999762,0.0000,1.0
2022-12-09,88.9,90.3,88.63,89.09,89.09,67398506,0.0000,1.0
2022-12-08,89.24,90.86,87.88,90.35,90.35,73305887,0.0000,1.0
2022-12-07,88.34,89.89,87.48,88.46,88.46,68086880,0.0000,1.0
2022-12-06,90.5,91.04,87.9,88.25,88.25,75503628,0.0000,1.0
2022-12-05,93.05,94.06,90.82,91.01,91.01,71535526,0.0000,1.0
2022-12-02,94.475,95.36,93.78,94.13,94.13,72496388,0.0000,1.0
2022-12-01,96.99,97.23,94.92,95.5,95.5,68487969,0.0000,1.0
2022-11-30,92.47,96.54,91.525,96.54,96.54,102805806,0.0000,1.0
2022-11-29,94.04,94.41,91.44,92.42,92.42,65567286,0.0000,1.0
2022-11-28,93.93,96.4,93.43,93.95,93.95,75062316,0.0000,1.0
2022-11-25,93.79,94.43,93.065,93.41,93.41,35088609,0.0000,1.0
2022-11-23,93.24,94.58,92.83,94.13,94.13,59414684,0.0000,1.0
2022-11-22,92.62,93.35,90.87,93.2,93.2,62191962,0.0000,1.0
2022-11-21,93.97,95.02,90.59,92.46,92.46,84330270,0.0000,1.0
2022-11-18,95.95,95.99,92.48,94.14,94.14,72428185,0.0000,1.0
2022-11-17,95.37,96.97,94.03,94.85,94.85,82617865,0.0000,1.0
2022-11-16,96.85,98.4879,95.54,97.12,97.12,87958828,0.0000,1.0
2022-11-15,103.21,103.79,97.34,98.94,98.94,111336317,0.0000,1.0
2022-11-14,98.77,100.1199,97.29,98.49,98.49,99533072,0.0000,1.0
2022-11-11,97.88,101.19,96.66,100.79,100.79,111590544,0.0000,1.0
2022-11-10,92.935,98.69,91.65,96.63,96.63,173414862,0.0000,1.0
2022-11-09,89.47,89.48,85.87,86.14,86.14,90796249,0.0000,1.0
2022-11-08,90.79,91.72,88.23,89.98,89.98,88703370,0.0000,1.0
2022-11-07,91.95,92.1,89.04,90.53,90.53,77495728,0.0000,1.0
2022-11-04,91.49,92.44,88.04,90.98,90.98,129101336,0.0000,1.0
2022-11-03,92.47,93.5,89.02,89.3,89.3,136683303,0.0000,1.0
2022-11-02,97.315,97.74,92.01,92.12,92.12,135761798,0.0000,1.0
2022-11-01,103.99,104.58,96.06,96.79,96.79,153370032,0.0000,1.0
2022-10-31,103.56,104.87,100.74,102.44,102.44,99251395,0.0000,1.0
2022-10-28,97.905,103.96,97.66,103.41,103.41,223133398,0.0000,1.0
2022-10-27,113.92,114.12,109.77,110.96,110.96,129605362,0.0000,1.0
2022-10-26,116.0,119.3457,114.76,115.66,115.66,69002457,0.0000,1.0
2022-10-25,119.65,121.3152,118.95,120.6,120.6,50934609,0.0000,1.0
2022-10-24,119.98,120.39,116.57,119.82,119.82,49531523,0.0000,1.0
2022-10-21,114.792,119.59,114.5,119.32,119.32,55660485,0.0000,1.0
2022-10-20,113.83,118.24,113.51,115.25,115.25,48795104,0.0000,1.0
2022-10-19,114.71,116.5932,113.22,115.07,115.07,47198122,0.0000,1.0
2022-10-18,119.06,119.52,114.79,116.36,116.36,65607448,0.0000,1.0
2022-10-17,110.11,114.19,110.09,113.79,113.79,62781985,0.0000,1.0
